Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily 1 (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-93.6,22.33,-90.2,26.67"
Data Bounding Box:,"-93.5,22.5,-90.5,26.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-93.6,22.33,-90.2,26.67&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2005-02-20,27.5551472
2005-02-21,32.7250595
2005-02-22,35.0054245
2005-02-23,31.9742737
2005-02-24,-9999
2005-02-25,31.9973068
2005-02-26,39.8854256
2005-02-27,25.2607651
2005-02-28,21.1206169
2005-03-01,16.2001972
2005-03-02,31.9416695
2005-03-03,33.2856865
2005-03-04,16.2942619
2005-03-05,35.46875
2005-03-06,37.0337257
2005-03-07,41.5045052
2005-03-08,32.4982414
2005-03-09,25.8880787
2005-03-10,12.5282841
2005-03-11,21.0560837
2005-03-12,-9999
2005-03-13,29.4158516
2005-03-14,32.546505
2005-03-15,38.1468201
2005-03-16,35.6894493
2005-03-17,22.7262096
2005-03-18,15.2409792
2005-03-19,26.7859344
2005-03-20,32.9478188
2005-03-21,-9999
2005-03-22,38.5594444
2005-03-23,20.0607929
2005-03-24,29.8871918
2005-03-25,29.4345036
2005-03-26,33.7479172
2005-03-27,32.3663139
2005-03-28,-9999
2005-03-29,20.1034832
2005-03-30,38.8272133
2005-03-31,42.1205101
2005-04-01,38.451107
2005-04-02,12.2044325
2005-04-03,14.3946524
2005-04-04,15.9187984
2005-04-05,29.6615524
2005-04-06,-9999
2005-04-07,21.0394249
2005-04-08,16.0375729
2005-04-09,19.2362137
2005-04-10,32.7449036
2005-04-11,29.9344482
2005-04-12,27.9784317
2005-04-13,-9999
2005-04-14,16.6098309
2005-04-15,22.2303028
2005-04-16,23.9102306
2005-04-17,22.6634884
2005-04-18,26.9188328
2005-04-19,35.2445488
2005-04-20,32.5249748
2005-04-21,32.119976
2005-04-22,-9999
2005-04-23,31.1099987
2005-04-24,25.2487164
2005-04-25,36.3969498
2005-04-26,40.8349457
2005-04-27,19.6657696
2005-04-28,21.1214523
2005-04-29,-9999
2005-04-30,42.6119614
2005-05-01,26.1498833
2005-05-02,26.3730412
2005-05-03,40.3624077
2005-05-04,39.0465965
2005-05-05,28.0774975
2005-05-06,19.7572422
2005-05-07,31.5649281
2005-05-08,36.53125
2005-05-09,33.2612762
2005-05-10,24.179287
2005-05-11,28.2633858
