Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-97,18,-93.6,22.33"
Data Bounding Box:,"-96.5,18.5,-94.5,21.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-97,18,-93.6,22.33&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2004-06-27,-9999
2004-06-28,43.1535301
2004-06-29,48.6286583
2004-06-30,46.2694244
2004-07-01,42.6417198
2004-07-02,46.4227257
2004-07-03,43.6578751
2004-07-04,-9999
2004-07-05,47.2582054
2004-07-06,40.870182
2004-07-07,51.6353722
2004-07-08,44.5089645
2004-07-09,46.2923813
2004-07-10,44.446907
2004-07-11,37.6393166
2004-07-12,31.9137478
2004-07-13,-9999
2004-07-14,49.2974319
2004-07-15,45.7716293
2004-07-16,44.9593086
2004-07-17,44.5739899
2004-07-18,48.8967934
2004-07-19,46.0910912
2004-07-20,-9999
2004-07-21,45.2508316
2004-07-22,37.561882
2004-07-23,44.493885
2004-07-24,45.7160606
2004-07-25,42.1931038
2004-07-26,48.3175888
2004-07-27,41.59375
2004-07-28,44.0366554
2004-07-29,-9999
2004-07-30,49.1943398
2004-07-31,46.8612556
2004-08-01,49.3483849
2004-08-02,53.9555283
2004-08-03,53.40728
2004-08-04,43.46315
2004-08-05,-9999
2004-08-06,41.8961372
2004-08-07,29.1731739
2004-08-08,43.4574776
2004-08-09,43.2184486
2004-08-10,45.3489075
2004-08-11,45.6785927
2004-08-12,45.327446
2004-08-13,48.9828377
2004-08-14,-9999
2004-08-15,47.9300423
2004-08-16,45.8486023
2004-08-17,46.0394287
2004-08-18,47.6303749
2004-08-19,52.1547241
2004-08-20,40.8744926
2004-08-21,-9999
2004-08-22,48.1284866
2004-08-23,30.7112637
2004-08-24,51.414093
2004-08-25,39.5199547
2004-08-26,49.2867317
2004-08-27,47.6157188
2004-08-28,47.8027916
2004-08-29,48.3375092
2004-08-30,-9999
2004-08-31,47.3452148
2004-09-01,40.0088959
2004-09-02,48.2109528
2004-09-03,46.6001282
2004-09-04,50.9070168
2004-09-05,52.3628693
2004-09-06,-9999
2004-09-07,51.7994499
2004-09-08,34.6781464
2004-09-09,46.1488152
2004-09-10,46.6940422
2004-09-11,51.7400131
2004-09-12,49.3060455
2004-09-13,51.5927048
2004-09-14,50.0147476
2004-09-15,-9999
2004-09-16,53.6000252
2004-09-17,51.3939171
2004-09-18,49.5904007
2004-09-19,46.3859291
2004-09-20,45.1175346
2004-09-21,42.6908455
2004-09-22,-9999
2004-09-23,47.6269341
2004-09-24,40.4364052
2004-09-25,51.8470192
2004-09-26,47.9406891
2004-09-27,55.3902893
2004-09-28,49.7530823
2004-09-29,48.0447273
2004-09-30,47.3799896
2004-10-01,-9999
2004-10-02,45.2040482
2004-10-03,42.3480453
2004-10-04,44.829155
2004-10-05,46.2618713
2004-10-06,49.2882729
2004-10-07,51.9870338
2004-10-08,-9999
2004-10-09,48.1728973
2004-10-10,35.3131638
2004-10-11,40.733799
2004-10-12,41.3755112
2004-10-13,45.690876
2004-10-14,48.1666451
2004-10-15,48.833622
2004-10-16,47.0138168
2004-10-17,-9999
2004-10-18,42.0064011
2004-10-19,40.246666
2004-10-20,37.7495193
2004-10-21,33.4595642
2004-10-22,33.9545555
2004-10-23,32.4698563
2004-10-24,-9999
2004-10-25,34.8565559
2004-10-26,36.1798248
2004-10-27,38.3713989
2004-10-28,37.0894547
2004-10-29,33.7704659
2004-10-30,32.4786835
2004-10-31,41.1134071
2004-11-01,35.2075806
2004-11-02,-9999
2004-11-03,42.6722641
2004-11-04,34.0687332
2004-11-05,33.6725578
2004-11-06,24.0059147
2004-11-07,-9999
2004-11-08,23.2590504
2004-11-09,-9999
2004-11-10,28.0739079
2004-11-11,20.134922
2004-11-12,30.0802803
2004-11-13,37.1152039
2004-11-14,36.29356
2004-11-15,30.2292423
2004-11-16,30.6490402
2004-11-17,35.3251495
2004-11-18,-9999
2004-11-19,26.6621475
2004-11-20,24.7625618
